image_path,ground_truth,predicted_text,cer,wer
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00003.jpg,ALL you NEED is 20 SECONDS of Insane,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00003.jpg,COURAGE AND I PROMISE YOU something GREAT,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00003.jpg,will come of it Benjmin Mee,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00007.jpg,Chalky \/n elements,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00007.jpg,banners Ribbon,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00007.jpg,frames \/n try,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00007.jpg,FLouRiSheS,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00007.jpg,and E to,,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00012.jpg,Мангальные \/n блюда \/n шашлык \/n баранина говядина \/n курица сёмга \/n домашняя свинина,Sleha flbHee) EJIHOJA WAWAblK 'GAPAHHHA) (TOBAJVHA KYPHLLA CEMTA QOMAWHAA CBMHMHA,0.9340659340659341,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00012.jpg,печень \/n домашняя в сетке \/n цыплёнок \/n табака,DEHEHGE BCETHL LBIMEHOHL TABAKA,0.9411764705882353,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00012.jpg,хачапури \/n под \/n заказ,KAYATYPV TIOA 39k43,0.9230769230769231,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00012.jpg,пиво \/n на \/n розлив,M,1.0,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00012.jpg,пельмени \/n домашние \/n на вынос,IESBMEHV Oqjuaustue 73 HA Bbhoc,0.8823529411764706,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00012.jpg,кофе \/n  с \/n собой,"Kopn , Cogow",0.8571428571428571,1.0
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00012.jpg,бизнес \/n ланч \/n C12 00 - 15 00,EM3HEC nahy IC 12 15,0.7352941176470589,0.8888888888888888
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00027.jpg,КАЖДЫЙ ДЕНЬ CRAFT COFFEE СВЕЖИЙ И ГОРЯЧИЙ,HB 40 CRAF COFFEE RMm,0.6585365853658537,0.8571428571428571
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00027.jpg,ФИРМЕННЫЙ КРЕМ-КАРАМЕЛЬ МОКАЧИНО,QHPMEHHM KPEM KAPAMEAB MOKA4HO,0.9375,1.3333333333333333
/Users/maksim/Desktop/TETE/Summer_practice/data/raw/dataset2_2/test/images/00027.jpg,ЗСПРЕССО АМЕРИКАНО КАПУЧИНО ЛАТТЕ,DcmpcccO AMEPMKHHO KanyYMHO MATTE,0.9090909090909091,1.0
